grnr,bcg_id,mass_log_msun,bcg_pos_x,bcg_pos_y,bcg_pos_z,halfmassrad_gas_ckpc_h,M_approx_msun,R_approx_kpc
144,35723,12.233122066521553,173336.0,264812.0,458147.0,160.45,1.710e+12,191.3
145,35752,13.02470000813292,153767.0,267270.0,452680.0,183.019,1.059e+13,351.3
146,35769,12.384662830021593,168852.0,256151.0,463022.0,58.7982,2.425e+12,215.0
147,35782,12.369348444832589,181929.0,258490.0,457864.0,93.6411,2.341e+12,212.4
148,35800,12.485290866765691,175622.0,276552.0,436194.0,119.627,3.057e+12,232.2
149,35814,12.315530940766779,182819.0,263468.0,449355.0,60.1797,2.068e+12,203.8
150,35821,12.433764874959682,186487.0,273364.0,443723.0,189.288,2.715e+12,223.2
151,35834,12.384549119252037,179233.0,267804.0,453764.0,114.926,2.424e+12,214.9
152,35859,12.204412395053733,176560.0,273513.0,454244.0,117.107,1.601e+12,187.2
153,35886,12.441578953386376,176217.0,267376.0,458572.0,129.544,2.764e+12,224.5
154,35902,12.488754245120942,165532.0,244955.0,460375.0,153.662,3.081e+12,232.8
155,35910,12.339683473443483,179306.0,249648.0,456884.0,62.9418,2.186e+12,207.7
156,35915,12.695501840270595,162545.0,252694.0,454806.0,196.201,4.960e+12,272.9
157,35934,12.415921662178325,187498.0,261355.0,448057.0,134.815,2.606e+12,220.2
158,35955,12.298319233758079,167534.0,254167.0,439590.0,89.3743,1.988e+12,201.2
159,35981,12.484610828678502,183006.0,248516.0,454294.0,0.0,3.052e+12,232.1
160,35990,12.019834731548753,174916.0,271662.0,445879.0,18.9081,1.047e+12,162.5
161,36011,12.26724449805534,171447.0,257120.0,461069.0,90.1071,1.850e+12,196.4
162,36036,12.381435655501269,179113.0,253308.0,453086.0,122.771,2.407e+12,214.4
163,36050,12.405891033249627,168549.0,255317.0,456269.0,107.083,2.546e+12,218.5
164,36065,12.143581751773574,170107.0,253223.0,460045.0,53.1087,1.392e+12,178.6
165,36090,12.457260884819277,173404.0,265003.0,446761.0,172.377,2.866e+12,227.3
166,36105,12.35327247741111,175762.0,271265.0,446437.0,88.9989,2.256e+12,209.8
167,36132,12.275621090241481,176690.0,268817.0,449428.0,30.4786,1.886e+12,197.7
168,36154,12.427176363726245,177773.0,262308.0,451185.0,110.924,2.674e+12,222.1
169,36163,12.364849712534278,172747.0,275917.0,434678.0,145.075,2.317e+12,211.7
170,36181,12.316781672093365,174576.0,275710.0,433378.0,169.278,2.074e+12,204.0
171,36194,12.302878890401871,183224.0,261247.0,450418.0,128.664,2.009e+12,201.9
172,36206,12.317439645017137,169142.0,264798.0,451725.0,73.8406,2.077e+12,204.1
173,36221,12.21046457416967,179534.0,262843.0,450340.0,116.711,1.624e+12,188.1
174,36230,12.37288374931873,189000.0,267447.0,444909.0,63.9728,2.360e+12,213.0
175,36241,12.403322692892777,177877.0,259081.0,456224.0,46.1539,2.531e+12,218.1
176,36254,12.549744082936098,155574.0,267392.0,451141.0,157.24,3.546e+12,244.0
177,36262,12.16411917945163,182338.0,261541.0,439592.0,109.956,1.459e+12,181.5
178,36290,12.297793131077718,179870.0,276799.0,442403.0,80.3014,1.985e+12,201.1
179,36310,12.583814013756449,152981.0,272725.0,446504.0,201.691,3.835e+12,250.5
180,36327,12.36332490764686,171826.0,268242.0,447847.0,35.1841,2.308e+12,211.5
181,36335,12.346720163438802,172382.0,256254.0,456291.0,35.9761,2.222e+12,208.8
182,36349,12.414956086712907,179405.0,251763.0,455427.0,73.9147,2.600e+12,220.0
183,36360,12.205835591757547,171722.0,267912.0,446689.0,35.752,1.606e+12,187.4
184,36376,12.367512183033854,176884.0,255908.0,454788.0,36.2393,2.331e+12,212.1
185,36383,12.381827059340806,174028.0,263953.0,455769.0,125.454,2.409e+12,214.5
186,36396,12.374811100872273,172007.0,262521.0,464737.0,79.6899,2.370e+12,213.3
187,36400,12.263866950050227,183284.0,263989.0,439949.0,95.5442,1.836e+12,195.9
