subhalo_id,grnr,axis,image_path,aperture_kpc,size_factor,signal_fraction,dynamic_range_dex,asymmetry_score,passed_qc,error
27172,5,z,output/images/halo000005_sub0027172_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27173,5,z,output/images/halo000005_sub0027173_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27174,5,z,output/images/halo000005_sub0027174_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27175,5,z,output/images/halo000005_sub0027175_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27177,5,z,output/images/halo000005_sub0027177_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27176,5,z,output/images/halo000005_sub0027176_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27178,5,z,output/images/halo000005_sub0027178_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27180,5,z,output/images/halo000005_sub0027180_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27181,5,z,output/images/halo000005_sub0027181_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27182,5,z,output/images/halo000005_sub0027182_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27183,5,z,output/images/halo000005_sub0027183_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27184,5,z,output/images/halo000005_sub0027184_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27185,5,z,output/images/halo000005_sub0027185_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27186,5,z,output/images/halo000005_sub0027186_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27188,5,z,output/images/halo000005_sub0027188_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27187,5,z,output/images/halo000005_sub0027187_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27189,5,z,output/images/halo000005_sub0027189_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27190,5,z,output/images/halo000005_sub0027190_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27194,5,z,output/images/halo000005_sub0027194_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27195,5,z,output/images/halo000005_sub0027195_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27196,5,z,output/images/halo000005_sub0027196_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27197,5,z,output/images/halo000005_sub0027197_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27199,5,z,output/images/halo000005_sub0027199_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27198,5,z,output/images/halo000005_sub0027198_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27200,5,z,output/images/halo000005_sub0027200_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27202,5,z,output/images/halo000005_sub0027202_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27203,5,z,output/images/halo000005_sub0027203_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27204,5,z,output/images/halo000005_sub0027204_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27205,5,z,output/images/halo000005_sub0027205_z.png,200.0,0.2952,1.0,0.932,0.033,True,
27207,5,z,output/images/halo000005_sub0027207_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27208,5,z,output/images/halo000005_sub0027208_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27210,5,z,output/images/halo000005_sub0027210_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27209,5,z,output/images/halo000005_sub0027209_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27211,5,z,output/images/halo000005_sub0027211_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27212,5,z,output/images/halo000005_sub0027212_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27214,5,z,output/images/halo000005_sub0027214_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
