subhalo_id,grnr,halo_r200_kpc,mass_gas_1e10msun_h,mass_stars_1e10msun_h,pos_x_ckpc_h,pos_y_ckpc_h,pos_z_ckpc_h,halfmassrad_gas_ckpc_h,bcg_pos_x,bcg_pos_y,bcg_pos_z,cutout_url,sfr
430,0,2198.3,0.801552,0.218032,174690.0,266498.0,449633.0,8.002,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/430/cutout.hdf5,1.3312
437,0,2198.3,0.371531,0.287292,174447.0,266537.0,449619.0,4.576,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/437/cutout.hdf5,0.6174
440,0,2198.3,0.053059,0.394808,174437.0,265338.0,452899.0,1.656,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/440/cutout.hdf5,0.1044
442,0,2198.3,1.19607,0.092487,172044.0,257505.0,454637.0,14.849,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/442/cutout.hdf5,0.1044
445,0,2198.3,0.529042,0.089727,173044.0,258544.0,454336.0,10.51,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/445/cutout.hdf5,0.2521
457,0,2198.3,0.005512,0.84578,173818.0,265719.0,449888.0,28.153,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/457/cutout.hdf5,0.0
460,0,2198.3,0.056598,0.215143,174878.0,261484.0,454942.0,1.658,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/460/cutout.hdf5,0.1305
467,0,2198.3,0.39425,0.359257,172768.0,260540.0,454233.0,11.959,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/467/cutout.hdf5,0.2229
470,0,2198.3,1.08111,0.39102,173055.0,259766.0,453030.0,17.04,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/470/cutout.hdf5,1.21
477,0,2198.3,0.329665,0.052004,175837.0,263561.0,452839.0,8.551,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/477/cutout.hdf5,0.236
481,0,2198.3,0.406439,0.417896,172512.0,258485.0,454664.0,4.07,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/481/cutout.hdf5,1.1775
